,AUDUSD Curncy,AUDUSD Curncy,AUDUSD Curncy,AUDUSD Curncy
,high,low,open,last_price
04/01/1971,1.1127,1.1127,1.1127,1.1127
05/01/1971,1.1132,1.1132,1.1132,1.1132
06/01/1971,1.114,1.114,1.114,1.114
07/01/1971,1.1138,1.1138,1.1138,1.1138
08/01/1971,1.1124,1.1124,1.1124,1.1124
11/01/1971,1.1152,1.1152,1.1152,1.1152
12/01/1971,1.1156,1.1156,1.1156,1.1156
13/01/1971,1.1165,1.1165,1.1165,1.1165
14/01/1971,1.1189,1.1189,1.1189,1.1189
15/01/1971,1.1182,1.1182,1.1182,1.1182
18/01/1971,1.1179,1.1179,1.1179,1.1179
19/01/1971,1.1193,1.1193,1.1193,1.1193
20/01/1971,1.1193,1.1193,1.1193,1.1193
21/01/1971,1.1198,1.1198,1.1198,1.1198
22/01/1971,1.1204,1.1204,1.1204,1.1204
25/01/1971,1.1224,1.1224,1.1224,1.1224
26/01/1971,1.123,1.123,1.123,1.123
27/01/1971,1.123,1.123,1.123,1.123
28/01/1971,1.1234,1.1234,1.1234,1.1234
29/01/1971,1.1236,1.1236,1.1236,1.1236
01/02/1971,1.1241,1.1241,1.1241,1.1241
02/02/1971,1.124,1.124,1.124,1.124
03/02/1971,1.1241,1.1241,1.1241,1.1241
04/02/1971,1.1233,1.1233,1.1233,1.1233
05/02/1971,1.1224,1.1224,1.1224,1.1224
08/02/1971,1.124,1.124,1.124,1.124
09/02/1971,1.1226,1.1226,1.1226,1.1226
10/02/1971,1.1229,1.1229,1.1229,1.1229
11/02/1971,1.1229,1.1229,1.1229,1.1229
12/02/1971,1.1229,1.1229,1.1229,1.1229
16/02/1971,1.1245,1.1245,1.1245,1.1245
17/02/1971,1.1245,1.1245,1.1245,1.1245
18/02/1971,1.1244,1.1244,1.1244,1.1244
19/02/1971,1.1244,1.1244,1.1244,1.1244
22/02/1971,1.1245,1.1245,1.1245,1.1245
23/02/1971,1.1245,1.1245,1.1245,1.1245
24/02/1971,1.1245,1.1245,1.1245,1.1245
25/02/1971,1.1238,1.1238,1.1238,1.1238
26/02/1971,1.123,1.123,1.123,1.123
01/03/1971,1.1231,1.1231,1.1231,1.1231
02/03/1971,1.1241,1.1241,1.1241,1.1241
03/03/1971,1.1245,1.1245,1.1245,1.1245
04/03/1971,1.1239,1.1239,1.1239,1.1239
05/03/1971,1.1241,1.1241,1.1241,1.1241
08/03/1971,1.1245,1.1245,1.1245,1.1245
09/03/1971,1.1244,1.1244,1.1244,1.1244
10/03/1971,1.1245,1.1245,1.1245,1.1245
11/03/1971,1.1243,1.1243,1.1243,1.1243
12/03/1971,1.1245,1.1245,1.1245,1.1245
15/03/1971,1.1245,1.1245,1.1245,1.1245
16/03/1971,1.1241,1.1241,1.1241,1.1241
17/03/1971,1.1246,1.1246,1.1246,1.1246
18/03/1971,1.1244,1.1244,1.1244,1.1244
19/03/1971,1.1244,1.1244,1.1244,1.1244
22/03/1971,1.1245,1.1245,1.1245,1.1245
23/03/1971,1.1245,1.1245,1.1245,1.1245
24/03/1971,1.1246,1.1246,1.1246,1.1246
25/03/1971,1.1241,1.1241,1.1241,1.1241
26/03/1971,1.1243,1.1243,1.1243,1.1243
29/03/1971,1.1246,1.1246,1.1246,1.1246
30/03/1971,1.124,1.124,1.124,1.124
31/03/1971,1.1234,1.1234,1.1234,1.1234
01/04/1971,1.1224,1.1224,1.1224,1.1224
02/04/1971,1.1213,1.1213,1.1213,1.1213
05/04/1971,1.123,1.123,1.123,1.123
06/04/1971,1.1243,1.1243,1.1243,1.1243
07/04/1971,1.1234,1.1234,1.1234,1.1234
08/04/1971,1.1233,1.1233,1.1233,1.1233
09/04/1971,1.1233,1.1233,1.1233,1.1233
12/04/1971,1.1234,1.1234,1.1234,1.1234
13/04/1971,1.1233,1.1233,1.1233,1.1233
14/04/1971,1.1239,1.1239,1.1239,1.1239
15/04/1971,1.1242,1.1242,1.1242,1.1242
16/04/1971,1.1242,1.1242,1.1242,1.1242
19/04/1971,1.1245,1.1245,1.1245,1.1245
20/04/1971,1.1245,1.1245,1.1245,1.1245
21/04/1971,1.1246,1.1246,1.1246,1.1246
22/04/1971,1.1242,1.1242,1.1242,1.1242
23/04/1971,1.1243,1.1243,1.1243,1.1243
26/04/1971,1.1243,1.1243,1.1243,1.1243
27/04/1971,1.1244,1.1244,1.1244,1.1244
28/04/1971,1.1246,1.1246,1.1246,1.1246
29/04/1971,1.1245,1.1245,1.1245,1.1245
30/04/1971,1.1245,1.1245,1.1245,1.1245
03/05/1971,1.1243,1.1243,1.1243,1.1243
04/05/1971,1.1242,1.1242,1.1242,1.1242
05/05/1971,1.1246,1.1246,1.1246,1.1246
06/05/1971,1.1242,1.1242,1.1242,1.1242
07/05/1971,1.1243,1.1243,1.1243,1.1243
10/05/1971,1.1236,1.1236,1.1236,1.1236
11/05/1971,1.1235,1.1235,1.1235,1.1235
12/05/1971,1.124,1.124,1.124,1.124
13/05/1971,1.124,1.124,1.124,1.124
14/05/1971,1.1242,1.1242,1.1242,1.1242
17/05/1971,1.1245,1.1245,1.1245,1.1245
18/05/1971,1.1244,1.1244,1.1244,1.1244
19/05/1971,1.1246,1.1246,1.1246,1.1246
20/05/1971,1.1245,1.1245,1.1245,1.1245
21/05/1971,1.1246,1.1246,1.1246,1.1246
24/05/1971,1.1246,1.1246,1.1246,1.1246
25/05/1971,1.1244,1.1244,1.1244,1.1244
26/05/1971,1.1246,1.1246,1.1246,1.1246
27/05/1971,1.1243,1.1243,1.1243,1.1243
28/05/1971,1.1238,1.1238,1.1238,1.1238
31/05/1971,1.1238,1.1238,1.1238,1.1238
01/06/1971,1.1231,1.1231,1.1231,1.1231
02/06/1971,1.1234,1.1234,1.1234,1.1234
03/06/1971,1.1243,1.1243,1.1243,1.1243
04/06/1971,1.1244,1.1244,1.1244,1.1244
07/06/1971,1.1245,1.1245,1.1245,1.1245
08/06/1971,1.1243,1.1243,1.1243,1.1243
09/06/1971,1.1246,1.1246,1.1246,1.1246
10/06/1971,1.1245,1.1245,1.1245,1.1245
11/06/1971,1.1246,1.1246,1.1246,1.1246
14/06/1971,1.1242,1.1242,1.1242,1.1242
15/06/1971,1.1242,1.1242,1.1242,1.1242
16/06/1971,1.1245,1.1245,1.1245,1.1245
17/06/1971,1.1243,1.1243,1.1243,1.1243
18/06/1971,1.1244,1.1244,1.1244,1.1244
21/06/1971,1.1244,1.1244,1.1244,1.1244
