,USDCAD Curncy,USDCAD Curncy,USDCAD Curncy,USDCAD Curncy
,high,low,open,last_price
04/01/1971,1.0109,1.0109,1.0109,1.0109
05/01/1971,1.0102,1.0102,1.0102,1.0102
06/01/1971,1.0106,1.0106,1.0106,1.0106
07/01/1971,1.0148,1.0148,1.0148,1.0148
08/01/1971,1.0154,1.0154,1.0154,1.0154
11/01/1971,1.0159,1.0159,1.0159,1.0159
12/01/1971,1.013,1.013,1.013,1.013
13/01/1971,1.0122,1.0122,1.0122,1.0122
14/01/1971,1.0133,1.0133,1.0133,1.0133
15/01/1971,1.0135,1.0135,1.0135,1.0135
18/01/1971,1.0126,1.0126,1.0126,1.0126
19/01/1971,1.0111,1.0111,1.0111,1.0111
20/01/1971,1.0115,1.0115,1.0115,1.0115
21/01/1971,1.0109,1.0109,1.0109,1.0109
22/01/1971,1.0117,1.0117,1.0117,1.0117
25/01/1971,1.0111,1.0111,1.0111,1.0111
26/01/1971,1.0107,1.0107,1.0107,1.0107
27/01/1971,1.0101,1.0101,1.0101,1.0101
28/01/1971,1.009,1.009,1.009,1.009
29/01/1971,1.008,1.008,1.008,1.008
01/02/1971,1.0076,1.0076,1.0076,1.0076
02/02/1971,1.0087,1.0087,1.0087,1.0087
03/02/1971,1.0085,1.0085,1.0085,1.0085
04/02/1971,1.0078,1.0078,1.0078,1.0078
05/02/1971,1.0078,1.0078,1.0078,1.0078
08/02/1971,1.0083,1.0083,1.0083,1.0083
09/02/1971,1.0083,1.0083,1.0083,1.0083
10/02/1971,1.0086,1.0086,1.0086,1.0086
11/02/1971,1.0086,1.0086,1.0086,1.0086
12/02/1971,1.0086,1.0086,1.0086,1.0086
15/02/1971,1.0086,1.0086,1.0086,1.0086
16/02/1971,1.0084,1.0084,1.0084,1.0084
17/02/1971,1.0087,1.0087,1.0087,1.0087
18/02/1971,1.0076,1.0076,1.0076,1.0076
19/02/1971,1.0066,1.0066,1.0066,1.0066
22/02/1971,1.0043,1.0043,1.0043,1.0043
23/02/1971,1.0035,1.0035,1.0035,1.0035
24/02/1971,1.0075,1.0075,1.0075,1.0075
25/02/1971,1.0066,1.0066,1.0066,1.0066
26/02/1971,1.007,1.007,1.007,1.007
01/03/1971,1.0076,1.0076,1.0076,1.0076
02/03/1971,1.0071,1.0071,1.0071,1.0071
03/03/1971,1.0073,1.0073,1.0073,1.0073
04/03/1971,1.0064,1.0064,1.0064,1.0064
05/03/1971,1.0047,1.0047,1.0047,1.0047
08/03/1971,1.003,1.003,1.003,1.003
09/03/1971,1.004,1.004,1.004,1.004
10/03/1971,1.0036,1.0036,1.0036,1.0036
11/03/1971,1.0049,1.0049,1.0049,1.0049
12/03/1971,1.0056,1.0056,1.0056,1.0056
15/03/1971,1.0059,1.0059,1.0059,1.0059
16/03/1971,1.0052,1.0052,1.0052,1.0052
17/03/1971,1.0056,1.0056,1.0056,1.0056
18/03/1971,1.0065,1.0065,1.0065,1.0065
19/03/1971,1.0077,1.0077,1.0077,1.0077
22/03/1971,1.0079,1.0079,1.0079,1.0079
23/03/1971,1.0078,1.0078,1.0078,1.0078
24/03/1971,1.0076,1.0076,1.0076,1.0076
25/03/1971,1.007,1.007,1.007,1.007
26/03/1971,1.0074,1.0074,1.0074,1.0074
29/03/1971,1.0075,1.0075,1.0075,1.0075
30/03/1971,1.0082,1.0082,1.0082,1.0082
31/03/1971,1.0081,1.0081,1.0081,1.0081
01/04/1971,1.0076,1.0076,1.0076,1.0076
02/04/1971,1.0073,1.0073,1.0073,1.0073
05/04/1971,1.0071,1.0071,1.0071,1.0071
06/04/1971,1.0062,1.0062,1.0062,1.0062
07/04/1971,1.0069,1.0069,1.0069,1.0069
08/04/1971,1.0071,1.0071,1.0071,1.0071
09/04/1971,1.0068,1.0068,1.0068,1.0068
12/04/1971,1.0069,1.0069,1.0069,1.0069
13/04/1971,1.0076,1.0076,1.0076,1.0076
14/04/1971,1.0081,1.0081,1.0081,1.0081
15/04/1971,1.0075,1.0075,1.0075,1.0075
16/04/1971,1.0068,1.0068,1.0068,1.0068
19/04/1971,1.0073,1.0073,1.0073,1.0073
20/04/1971,1.0075,1.0075,1.0075,1.0075
21/04/1971,1.0073,1.0073,1.0073,1.0073
22/04/1971,1.0076,1.0076,1.0076,1.0076
23/04/1971,1.0085,1.0085,1.0085,1.0085
26/04/1971,1.0092,1.0092,1.0092,1.0092
27/04/1971,1.0095,1.0095,1.0095,1.0095
28/04/1971,1.0089,1.0089,1.0089,1.0089
29/04/1971,1.0086,1.0086,1.0086,1.0086
30/04/1971,1.0091,1.0091,1.0091,1.0091
03/05/1971,1.0089,1.0089,1.0089,1.0089
04/05/1971,1.009,1.009,1.009,1.009
05/05/1971,1.0074,1.0074,1.0074,1.0074
06/05/1971,1.0074,1.0074,1.0074,1.0074
07/05/1971,1.0069,1.0069,1.0069,1.0069
10/05/1971,1.0084,1.0084,1.0084,1.0084
11/05/1971,1.0084,1.0084,1.0084,1.0084
12/05/1971,1.0083,1.0083,1.0083,1.0083
13/05/1971,1.0089,1.0089,1.0089,1.0089
14/05/1971,1.0089,1.0089,1.0089,1.0089
17/05/1971,1.0089,1.0089,1.0089,1.0089
18/05/1971,1.0089,1.0089,1.0089,1.0089
19/05/1971,1.0095,1.0095,1.0095,1.0095
20/05/1971,1.0093,1.0093,1.0093,1.0093
21/05/1971,1.0092,1.0092,1.0092,1.0092
24/05/1971,1.009,1.009,1.009,1.009
25/05/1971,1.0091,1.0091,1.0091,1.0091
26/05/1971,1.0086,1.0086,1.0086,1.0086
27/05/1971,1.0093,1.0093,1.0093,1.0093
28/05/1971,1.0101,1.0101,1.0101,1.0101
31/05/1971,1.0101,1.0101,1.0101,1.0101
01/06/1971,1.0126,1.0126,1.0126,1.0126
02/06/1971,1.0134,1.0134,1.0134,1.0134
03/06/1971,1.0185,1.0185,1.0185,1.0185
04/06/1971,1.0174,1.0174,1.0174,1.0174
07/06/1971,1.0161,1.0161,1.0161,1.0161
08/06/1971,1.0179,1.0179,1.0179,1.0179
09/06/1971,1.0186,1.0186,1.0186,1.0186
10/06/1971,1.0239,1.0239,1.0239,1.0239
11/06/1971,1.0239,1.0239,1.0239,1.0239
14/06/1971,1.0232,1.0232,1.0232,1.0232
