,USDCHF Curncy,USDCHF Curncy,USDCHF Curncy,USDCHF Curncy
,high,low,open,last_price
04/01/1971,4.318,4.318,4.318,4.318
05/01/1971,4.3117,4.3117,4.3117,4.3117
06/01/1971,4.3113,4.3113,4.3113,4.3113
07/01/1971,4.3103,4.3103,4.3103,4.3103
08/01/1971,4.3109,4.3109,4.3109,4.3109
11/01/1971,4.3102,4.3102,4.3102,4.3102
12/01/1971,4.3099,4.3099,4.3099,4.3099
13/01/1971,4.3095,4.3095,4.3095,4.3095
14/01/1971,4.3095,4.3095,4.3095,4.3095
15/01/1971,4.3076,4.3076,4.3076,4.3076
18/01/1971,4.3029,4.3029,4.3029,4.3029
19/01/1971,4.3006,4.3006,4.3006,4.3006
20/01/1971,4.301,4.301,4.301,4.301
21/01/1971,4.3017,4.3017,4.3017,4.3017
22/01/1971,4.2996,4.2996,4.2996,4.2996
25/01/1971,4.3005,4.3005,4.3005,4.3005
26/01/1971,4.2987,4.2987,4.2987,4.2987
27/01/1971,4.2973,4.2973,4.2973,4.2973
28/01/1971,4.2978,4.2978,4.2978,4.2978
29/01/1971,4.2963,4.2963,4.2963,4.2963
01/02/1971,4.2968,4.2968,4.2968,4.2968
02/02/1971,4.2969,4.2969,4.2969,4.2969
03/02/1971,4.2965,4.2965,4.2965,4.2965
04/02/1971,4.2966,4.2966,4.2966,4.2966
05/02/1971,4.2969,4.2969,4.2969,4.2969
08/02/1971,4.2979,4.2979,4.2979,4.2979
09/02/1971,4.2969,4.2969,4.2969,4.2969
10/02/1971,4.2972,4.2972,4.2972,4.2972
11/02/1971,4.2967,4.2967,4.2967,4.2967
12/02/1971,4.2967,4.2967,4.2967,4.2967
15/02/1971,4.2967,4.2967,4.2967,4.2967
16/02/1971,4.2968,4.2968,4.2968,4.2968
17/02/1971,4.2968,4.2968,4.2968,4.2968
18/02/1971,4.2967,4.2967,4.2967,4.2967
19/02/1971,4.2963,4.2963,4.2963,4.2963
22/02/1971,4.2958,4.2958,4.2958,4.2958
23/02/1971,4.2957,4.2957,4.2957,4.2957
24/02/1971,4.3015,4.3015,4.3015,4.3015
25/02/1971,4.3073,4.3073,4.3073,4.3073
26/02/1971,4.307,4.307,4.307,4.307
01/03/1971,4.3073,4.3073,4.3073,4.3073
02/03/1971,4.3054,4.3054,4.3054,4.3054
03/03/1971,4.3039,4.3039,4.3039,4.3039
04/03/1971,4.3068,4.3068,4.3068,4.3068
05/03/1971,4.3066,4.3066,4.3066,4.3066
08/03/1971,4.302,4.302,4.302,4.302
09/03/1971,4.3011,4.3011,4.3011,4.3011
10/03/1971,4.304,4.304,4.304,4.304
11/03/1971,4.3012,4.3012,4.3012,4.3012
12/03/1971,4.301,4.301,4.301,4.301
15/03/1971,4.3004,4.3004,4.3004,4.3004
16/03/1971,4.3002,4.3002,4.3002,4.3002
17/03/1971,4.2995,4.2995,4.2995,4.2995
18/03/1971,4.2983,4.2983,4.2983,4.2983
19/03/1971,4.2972,4.2972,4.2972,4.2972
22/03/1971,4.2971,4.2971,4.2971,4.2971
23/03/1971,4.2972,4.2972,4.2972,4.2972
24/03/1971,4.2968,4.2968,4.2968,4.2968
25/03/1971,4.2969,4.2969,4.2969,4.2969
