,GBPUSD Curncy,GBPUSD Curncy,GBPUSD Curncy,GBPUSD Curncy
,high,low,open,last_price
04/01/1971,2.3938,2.3938,2.3938,2.3938
05/01/1971,2.3949,2.3949,2.3949,2.3949
06/01/1971,2.3967,2.3967,2.3967,2.3967
07/01/1971,2.3963,2.3963,2.3963,2.3963
08/01/1971,2.3972,2.3972,2.3972,2.3972
11/01/1971,2.3992,2.3992,2.3992,2.3992
12/01/1971,2.4001,2.4001,2.4001,2.4001
13/01/1971,2.4021,2.4021,2.4021,2.4021
14/01/1971,2.4071,2.4071,2.4071,2.4071
15/01/1971,2.4057,2.4057,2.4057,2.4057
18/01/1971,2.4052,2.4052,2.4052,2.4052
19/01/1971,2.4081,2.4081,2.4081,2.4081
20/01/1971,2.408,2.408,2.408,2.408
21/01/1971,2.4092,2.4092,2.4092,2.4092
22/01/1971,2.4103,2.4103,2.4103,2.4103
25/01/1971,2.4147,2.4147,2.4147,2.4147
26/01/1971,2.416,2.416,2.416,2.416
27/01/1971,2.4161,2.4161,2.4161,2.4161
28/01/1971,2.4169,2.4169,2.4169,2.4169
29/01/1971,2.4174,2.4174,2.4174,2.4174
01/02/1971,2.4184,2.4184,2.4184,2.4184
02/02/1971,2.4181,2.4181,2.4181,2.4181
03/02/1971,2.4184,2.4184,2.4184,2.4184
04/02/1971,2.4167,2.4167,2.4167,2.4167
05/02/1971,2.4147,2.4147,2.4147,2.4147
08/02/1971,2.4182,2.4182,2.4182,2.4182
09/02/1971,2.4151,2.4151,2.4151,2.4151
10/02/1971,2.4159,2.4159,2.4159,2.4159
11/02/1971,2.4158,2.4158,2.4158,2.4158
12/02/1971,2.4158,2.4158,2.4158,2.4158
15/02/1971,2.4158,2.4158,2.4158,2.4158
16/02/1971,2.4193,2.4193,2.4193,2.4193
17/02/1971,2.4193,2.4193,2.4193,2.4193
18/02/1971,2.4191,2.4191,2.4191,2.4191
19/02/1971,2.419,2.419,2.419,2.419
22/02/1971,2.4192,2.4192,2.4192,2.4192
23/02/1971,2.4193,2.4193,2.4193,2.4193
24/02/1971,2.4193,2.4193,2.4193,2.4193
25/02/1971,2.4177,2.4177,2.4177,2.4177
26/02/1971,2.416,2.416,2.416,2.416
01/03/1971,2.4162,2.4162,2.4162,2.4162
02/03/1971,2.4184,2.4184,2.4184,2.4184
03/03/1971,2.4193,2.4193,2.4193,2.4193
04/03/1971,2.4179,2.4179,2.4179,2.4179
05/03/1971,2.4183,2.4183,2.4183,2.4183
08/03/1971,2.4192,2.4192,2.4192,2.4192
09/03/1971,2.4188,2.4188,2.4188,2.4188
10/03/1971,2.4192,2.4192,2.4192,2.4192
11/03/1971,2.4188,2.4188,2.4188,2.4188
12/03/1971,2.4193,2.4193,2.4193,2.4193
15/03/1971,2.4193,2.4193,2.4193,2.4193
16/03/1971,2.4183,2.4183,2.4183,2.4183
17/03/1971,2.4194,2.4194,2.4194,2.4194
18/03/1971,2.419,2.419,2.419,2.419
19/03/1971,2.419,2.419,2.419,2.419
22/03/1971,2.4193,2.4193,2.4193,2.4193
23/03/1971,2.4193,2.4193,2.4193,2.4193
24/03/1971,2.4194,2.4194,2.4194,2.4194
25/03/1971,2.4185,2.4185,2.4185,2.4185
26/03/1971,2.4188,2.4188,2.4188,2.4188
29/03/1971,2.4194,2.4194,2.4194,2.4194
30/03/1971,2.4181,2.4181,2.4181,2.4181
31/03/1971,2.4168,2.4168,2.4168,2.4168
01/04/1971,2.4147,2.4147,2.4147,2.4147
02/04/1971,2.4125,2.4125,2.4125,2.4125
05/04/1971,2.4161,2.4161,2.4161,2.4161
06/04/1971,2.4189,2.4189,2.4189,2.4189
07/04/1971,2.417,2.417,2.417,2.417
08/04/1971,2.4167,2.4167,2.4167,2.4167
09/04/1971,2.4167,2.4167,2.4167,2.4167
12/04/1971,2.4169,2.4169,2.4169,2.4169
13/04/1971,2.4167,2.4167,2.4167,2.4167
14/04/1971,2.418,2.418,2.418,2.418
15/04/1971,2.4187,2.4187,2.4187,2.4187
16/04/1971,2.4186,2.4186,2.4186,2.4186
19/04/1971,2.4193,2.4193,2.4193,2.4193
20/04/1971,2.4193,2.4193,2.4193,2.4193
21/04/1971,2.4196,2.4196,2.4196,2.4196
22/04/1971,2.4187,2.4187,2.4187,2.4187
23/04/1971,2.4189,2.4189,2.4189,2.4189
26/04/1971,2.4188,2.4188,2.4188,2.4188
27/04/1971,2.419,2.419,2.419,2.419
28/04/1971,2.4195,2.4195,2.4195,2.4195
29/04/1971,2.4192,2.4192,2.4192,2.4192
30/04/1971,2.4193,2.4193,2.4193,2.4193
03/05/1971,2.4189,2.4189,2.4189,2.4189
04/05/1971,2.4185,2.4185,2.4185,2.4185
05/05/1971,2.4194,2.4194,2.4194,2.4194
06/05/1971,2.4185,2.4185,2.4185,2.4185
07/05/1971,2.4188,2.4188,2.4188,2.4188
10/05/1971,2.4173,2.4173,2.4173,2.4173
11/05/1971,2.417,2.417,2.417,2.417
12/05/1971,2.4183,2.4183,2.4183,2.4183
13/05/1971,2.4183,2.4183,2.4183,2.4183
14/05/1971,2.4186,2.4186,2.4186,2.4186
17/05/1971,2.4193,2.4193,2.4193,2.4193
18/05/1971,2.419,2.419,2.419,2.419
19/05/1971,2.4194,2.4194,2.4194,2.4194
20/05/1971,2.4193,2.4193,2.4193,2.4193
21/05/1971,2.4194,2.4194,2.4194,2.4194
24/05/1971,2.4194,2.4194,2.4194,2.4194
25/05/1971,2.419,2.419,2.419,2.419
26/05/1971,2.4194,2.4194,2.4194,2.4194
27/05/1971,2.4187,2.4187,2.4187,2.4187
28/05/1971,2.4178,2.4178,2.4178,2.4178
31/05/1971,2.4178,2.4178,2.4178,2.4178
01/06/1971,2.4162,2.4162,2.4162,2.4162
02/06/1971,2.417,2.417,2.417,2.417
03/06/1971,2.4188,2.4188,2.4188,2.4188
04/06/1971,2.419,2.419,2.419,2.419
07/06/1971,2.4192,2.4192,2.4192,2.4192
08/06/1971,2.4188,2.4188,2.4188,2.4188
09/06/1971,2.4194,2.4194,2.4194,2.4194
10/06/1971,2.4193,2.4193,2.4193,2.4193
11/06/1971,2.4194,2.4194,2.4194,2.4194
14/06/1971,2.4186,2.4186,2.4186,2.4186
15/06/1971,2.4187,2.4187,2.4187,2.4187
16/06/1971,2.4193,2.4193,2.4193,2.4193
17/06/1971,2.4189,2.4189,2.4189,2.4189
18/06/1971,2.4191,2.4191,2.4191,2.4191
21/06/1971,2.4191,2.4191,2.4191,2.4191
22/06/1971,2.419,2.419,2.419,2.419
23/06/1971,2.4195,2.4195,2.4195,2.4195
24/06/1971,2.4191,2.4191,2.4191,2.4191
25/06/1971,2.4191,2.4191,2.4191,2.4191
28/06/1971,2.4185,2.4185,2.4185,2.4185
29/06/1971,2.419,2.419,2.419,2.419
30/06/1971,2.4196,2.4196,2.4196,2.4196
01/07/1971,2.419,2.419,2.419,2.419
02/07/1971,2.419,2.419,2.419,2.419
05/07/1971,2.419,2.419,2.419,2.419
06/07/1971,2.419,2.419,2.419,2.419
07/07/1971,2.419,2.419,2.419,2.419
08/07/1971,2.419,2.419,2.419,2.419
09/07/1971,2.4183,2.4183,2.4183,2.4183
12/07/1971,2.4182,2.4182,2.4182,2.4182
13/07/1971,2.418,2.418,2.418,2.418
14/07/1971,2.4187,2.4187,2.4187,2.4187
15/07/1971,2.4187,2.4187,2.4187,2.4187
16/07/1971,2.4189,2.4189,2.4189,2.4189
19/07/1971,2.4183,2.4183,2.4183,2.4183
20/07/1971,2.4182,2.4182,2.4182,2.4182
21/07/1971,2.4191,2.4191,2.4191,2.4191
22/07/1971,2.4188,2.4188,2.4188,2.4188
23/07/1971,2.419,2.419,2.419,2.419
26/07/1971,2.418,2.418,2.418,2.418
