,USDJPY Curncy,USDJPY Curncy,USDJPY Curncy,USDJPY Curncy
,high,low,open,last_price
04/01/1971,357.73,357.73,357.73,357.73
05/01/1971,357.81,357.81,357.81,357.81
06/01/1971,357.86,357.86,357.86,357.86
07/01/1971,357.87,357.87,357.87,357.87
08/01/1971,357.82,357.82,357.82,357.82
11/01/1971,357.95,357.95,357.95,357.95
12/01/1971,358.06,358.06,358.06,358.06
13/01/1971,358.44,358.44,358.44,358.44
14/01/1971,358.4,358.4,358.4,358.4
15/01/1971,358.4,358.4,358.4,358.4
18/01/1971,358.29,358.29,358.29,358.29
19/01/1971,358.35,358.35,358.35,358.35
20/01/1971,358.4,358.4,358.4,358.4
21/01/1971,358.27,358.27,358.27,358.27
22/01/1971,357.9,357.9,357.9,357.9
25/01/1971,357.73,357.73,357.73,357.73
26/01/1971,357.78,357.78,357.78,357.78
27/01/1971,357.79,357.79,357.79,357.79
28/01/1971,357.83,357.83,357.83,357.83
29/01/1971,357.72,357.72,357.72,357.72
01/02/1971,357.67,357.67,357.67,357.67
02/02/1971,357.55,357.55,357.55,357.55
03/02/1971,357.54,357.54,357.54,357.54
04/02/1971,357.51,357.51,357.51,357.51
05/02/1971,357.53,357.53,357.53,357.53
08/02/1971,357.49,357.49,357.49,357.49
09/02/1971,357.5,357.5,357.5,357.5
10/02/1971,357.5,357.5,357.5,357.5
11/02/1971,357.5,357.5,357.5,357.5
12/02/1971,357.5,357.5,357.5,357.5
15/02/1971,357.5,357.5,357.5,357.5
16/02/1971,357.53,357.53,357.53,357.53
17/02/1971,357.53,357.53,357.53,357.53
18/02/1971,357.53,357.53,357.53,357.53
19/02/1971,357.56,357.56,357.56,357.56
22/02/1971,357.6,357.6,357.6,357.6
23/02/1971,357.55,357.55,357.55,357.55
24/02/1971,357.6,357.6,357.6,357.6
25/02/1971,357.56,357.56,357.56,357.56
26/02/1971,357.56,357.56,357.56,357.56
01/03/1971,357.63,357.63,357.63,357.63
02/03/1971,357.56,357.56,357.56,357.56
03/03/1971,357.49,357.49,357.49,357.49
04/03/1971,357.45,357.45,357.45,357.45
05/03/1971,357.59,357.59,357.59,357.59
08/03/1971,357.55,357.55,357.55,357.55
09/03/1971,357.46,357.46,357.46,357.46
10/03/1971,357.59,357.59,357.59,357.59
11/03/1971,357.56,357.56,357.56,357.56
12/03/1971,357.58,357.58,357.58,357.58
15/03/1971,357.54,357.54,357.54,357.54
16/03/1971,357.49,357.49,357.49,357.49
17/03/1971,357.53,357.53,357.53,357.53
18/03/1971,357.56,357.56,357.56,357.56
19/03/1971,357.56,357.56,357.56,357.56
22/03/1971,357.44,357.44,357.44,357.44
23/03/1971,357.53,357.53,357.53,357.53
24/03/1971,357.53,357.53,357.53,357.53
25/03/1971,357.47,357.47,357.47,357.47
26/03/1971,357.47,357.47,357.47,357.47
29/03/1971,357.44,357.44,357.44,357.44
30/03/1971,357.49,357.49,357.49,357.49
31/03/1971,357.42,357.42,357.42,357.42
01/04/1971,357.49,357.49,357.49,357.49
02/04/1971,357.53,357.53,357.53,357.53
05/04/1971,357.5,357.5,357.5,357.5
06/04/1971,357.46,357.46,357.46,357.46
07/04/1971,357.55,357.55,357.55,357.55
08/04/1971,357.55,357.55,357.55,357.55
09/04/1971,357.5,357.5,357.5,357.5
12/04/1971,357.5,357.5,357.5,357.5
13/04/1971,357.62,357.62,357.62,357.62
14/04/1971,357.58,357.58,357.58,357.58
15/04/1971,357.5,357.5,357.5,357.5
16/04/1971,357.54,357.54,357.54,357.54
19/04/1971,357.49,357.49,357.49,357.49
20/04/1971,357.49,357.49,357.49,357.49
21/04/1971,357.49,357.49,357.49,357.49
22/04/1971,357.49,357.49,357.49,357.49
23/04/1971,357.49,357.49,357.49,357.49
26/04/1971,357.5,357.5,357.5,357.5
27/04/1971,357.49,357.49,357.49,357.49
28/04/1971,357.5,357.5,357.5,357.5
29/04/1971,357.41,357.41,357.41,357.41
30/04/1971,357.4,357.4,357.4,357.4
03/05/1971,357.41,357.41,357.41,357.41
04/05/1971,357.4,357.4,357.4,357.4
05/05/1971,357.4,357.4,357.4,357.4
06/05/1971,357.41,357.41,357.41,357.41
07/05/1971,357.41,357.41,357.41,357.41
10/05/1971,357.14,357.14,357.14,357.14
11/05/1971,357.44,357.44,357.44,357.44
12/05/1971,357.53,357.53,357.53,357.53
13/05/1971,357.49,357.49,357.49,357.49
14/05/1971,357.49,357.49,357.49,357.49
17/05/1971,357.4,357.4,357.4,357.4
18/05/1971,357.44,357.44,357.44,357.44
19/05/1971,357.4,357.4,357.4,357.4
20/05/1971,357.46,357.46,357.46,357.46
21/05/1971,357.4,357.4,357.4,357.4
24/05/1971,357.4,357.4,357.4,357.4
25/05/1971,357.4,357.4,357.4,357.4
26/05/1971,357.44,357.44,357.44,357.44
27/05/1971,357.4,357.4,357.4,357.4
28/05/1971,357.4,357.4,357.4,357.4
31/05/1971,357.4,357.4,357.4,357.4
01/06/1971,357.46,357.46,357.46,357.46
02/06/1971,357.4,357.4,357.4,357.4
03/06/1971,357.46,357.46,357.46,357.46
04/06/1971,357.4,357.4,357.4,357.4
07/06/1971,357.4,357.4,357.4,357.4
08/06/1971,357.4,357.4,357.4,357.4
09/06/1971,357.4,357.4,357.4,357.4
10/06/1971,357.4,357.4,357.4,357.4
11/06/1971,357.4,357.4,357.4,357.4
14/06/1971,357.4,357.4,357.4,357.4
15/06/1971,357.46,357.46,357.46,357.46
16/06/1971,357.46,357.46,357.46,357.46
17/06/1971,357.46,357.46,357.46,357.46
18/06/1971,357.4,357.4,357.4,357.4
21/06/1971,357.4,357.4,357.4,357.4
22/06/1971,357.4,357.4,357.4,357.4
23/06/1971,357.4,357.4,357.4,357.4
24/06/1971,357.4,357.4,357.4,357.4
25/06/1971,357.4,357.4,357.4,357.4
28/06/1971,357.37,357.37,357.37,357.37
29/06/1971,357.39,357.39,357.39,357.39
30/06/1971,357.4,357.4,357.4,357.4
01/07/1971,357.4,357.4,357.4,357.4
