,NZDUSD Curncy,NZDUSD Curncy,NZDUSD Curncy,NZDUSD Curncy
,high,low,open,last_price
04/01/1971,1.1138,1.1138,1.1138,1.1138
05/01/1971,1.1143,1.1143,1.1143,1.1143
06/01/1971,1.1151,1.1151,1.1151,1.1151
07/01/1971,1.115,1.115,1.115,1.115
08/01/1971,1.1154,1.1154,1.1154,1.1154
11/01/1971,1.1163,1.1163,1.1163,1.1163
12/01/1971,1.1167,1.1167,1.1167,1.1167
13/01/1971,1.1177,1.1177,1.1177,1.1177
14/01/1971,1.12,1.12,1.12,1.12
15/01/1971,1.1193,1.1193,1.1193,1.1193
18/01/1971,1.1191,1.1191,1.1191,1.1191
19/01/1971,1.1205,1.1205,1.1205,1.1205
20/01/1971,1.1204,1.1204,1.1204,1.1204
21/01/1971,1.121,1.121,1.121,1.121
22/01/1971,1.1215,1.1215,1.1215,1.1215
25/01/1971,1.1236,1.1236,1.1236,1.1236
26/01/1971,1.1241,1.1241,1.1241,1.1241
27/01/1971,1.1242,1.1242,1.1242,1.1242
28/01/1971,1.1246,1.1246,1.1246,1.1246
29/01/1971,1.1248,1.1248,1.1248,1.1248
01/02/1971,1.1253,1.1253,1.1253,1.1253
02/02/1971,1.1251,1.1251,1.1251,1.1251
03/02/1971,1.1253,1.1253,1.1253,1.1253
04/02/1971,1.1245,1.1245,1.1245,1.1245
05/02/1971,1.1235,1.1235,1.1235,1.1235
08/02/1971,1.1252,1.1252,1.1252,1.1252
09/02/1971,1.1237,1.1237,1.1237,1.1237
10/02/1971,1.1241,1.1241,1.1241,1.1241
11/02/1971,1.124,1.124,1.124,1.124
16/02/1971,1.1257,1.1257,1.1257,1.1257
17/02/1971,1.1257,1.1257,1.1257,1.1257
18/02/1971,1.1256,1.1256,1.1256,1.1256
19/02/1971,1.1255,1.1255,1.1255,1.1255
22/02/1971,1.1256,1.1256,1.1256,1.1256
23/02/1971,1.1257,1.1257,1.1257,1.1257
24/02/1971,1.1257,1.1257,1.1257,1.1257
25/02/1971,1.1249,1.1249,1.1249,1.1249
26/02/1971,1.1241,1.1241,1.1241,1.1241
01/03/1971,1.1242,1.1242,1.1242,1.1242
02/03/1971,1.1253,1.1253,1.1253,1.1253
03/03/1971,1.1257,1.1257,1.1257,1.1257
04/03/1971,1.125,1.125,1.125,1.125
05/03/1971,1.1252,1.1252,1.1252,1.1252
08/03/1971,1.1256,1.1256,1.1256,1.1256
09/03/1971,1.1256,1.1256,1.1256,1.1256
10/03/1971,1.1256,1.1256,1.1256,1.1256
11/03/1971,1.1254,1.1254,1.1254,1.1254
12/03/1971,1.1257,1.1257,1.1257,1.1257
15/03/1971,1.1257,1.1257,1.1257,1.1257
16/03/1971,1.1252,1.1252,1.1252,1.1252
17/03/1971,1.1257,1.1257,1.1257,1.1257
18/03/1971,1.1255,1.1255,1.1255,1.1255
19/03/1971,1.1255,1.1255,1.1255,1.1255
22/03/1971,1.1257,1.1257,1.1257,1.1257
23/03/1971,1.1257,1.1257,1.1257,1.1257
24/03/1971,1.1257,1.1257,1.1257,1.1257
25/03/1971,1.1253,1.1253,1.1253,1.1253
26/03/1971,1.1254,1.1254,1.1254,1.1254
29/03/1971,1.1257,1.1257,1.1257,1.1257
30/03/1971,1.1251,1.1251,1.1251,1.1251
31/03/1971,1.1245,1.1245,1.1245,1.1245
01/04/1971,1.1235,1.1235,1.1235,1.1235
02/04/1971,1.1225,1.1225,1.1225,1.1225
05/04/1971,1.1242,1.1242,1.1242,1.1242
06/04/1971,1.1255,1.1255,1.1255,1.1255
07/04/1971,1.1246,1.1246,1.1246,1.1246
08/04/1971,1.1245,1.1245,1.1245,1.1245
09/04/1971,1.1245,1.1245,1.1245,1.1245
12/04/1971,1.1246,1.1246,1.1246,1.1246
13/04/1971,1.1245,1.1245,1.1245,1.1245
14/04/1971,1.125,1.125,1.125,1.125
