,EURUSD Curncy,EURUSD Curncy,EURUSD Curncy,EURUSD Curncy
,high,low,open,last_price
02/01/1975,1.3101,1.3101,1.3101,1.3101
03/01/1975,1.3184,1.3184,1.3184,1.3184
06/01/1975,1.3291,1.3291,1.3291,1.3291
07/01/1975,1.3316,1.3316,1.3316,1.3316
08/01/1975,1.3238,1.3238,1.3238,1.3238
09/01/1975,1.3243,1.3243,1.3243,1.3243
10/01/1975,1.3273,1.3273,1.3273,1.3273
13/01/1975,1.3263,1.3263,1.3263,1.3263
14/01/1975,1.3179,1.3179,1.3179,1.3179
15/01/1975,1.3224,1.3224,1.3224,1.3224
16/01/1975,1.3252,1.3252,1.3252,1.3252
17/01/1975,1.3268,1.3268,1.3268,1.3268
20/01/1975,1.3328,1.3328,1.3328,1.3328
21/01/1975,1.3357,1.3357,1.3357,1.3357
22/01/1975,1.3484,1.3484,1.3484,1.3484
23/01/1975,1.3506,1.3506,1.3506,1.3506
24/01/1975,1.3543,1.3543,1.3543,1.3543
27/01/1975,1.3654,1.3654,1.3654,1.3654
28/01/1975,1.3593,1.3593,1.3593,1.3593
29/01/1975,1.3461,1.3461,1.3461,1.3461
30/01/1975,1.3481,1.3481,1.3481,1.3481
31/01/1975,1.3472,1.3472,1.3472,1.3472
03/02/1975,1.3423,1.3423,1.3423,1.3423
04/02/1975,1.3301,1.3301,1.3301,1.3301
05/02/1975,1.331,1.331,1.331,1.331
06/02/1975,1.3342,1.3342,1.3342,1.3342
07/02/1975,1.3374,1.3374,1.3374,1.3374
10/02/1975,1.3439,1.3439,1.3439,1.3439
11/02/1975,1.3445,1.3445,1.3445,1.3445
12/02/1975,1.3464,1.3464,1.3464,1.3464
13/02/1975,1.3545,1.3545,1.3545,1.3545
14/02/1975,1.3547,1.3547,1.3547,1.3547
17/02/1975,1.3585,1.3585,1.3585,1.3585
18/02/1975,1.3576,1.3576,1.3576,1.3576
19/02/1975,1.3559,1.3559,1.3559,1.3559
20/02/1975,1.3631,1.3631,1.3631,1.3631
21/02/1975,1.3641,1.3641,1.3641,1.3641
24/02/1975,1.3733,1.3733,1.3733,1.3733
25/02/1975,1.3691,1.3691,1.3691,1.3691
26/02/1975,1.3782,1.3782,1.3782,1.3782
27/02/1975,1.3841,1.3841,1.3841,1.3841
28/02/1975,1.3847,1.3847,1.3847,1.3847
03/03/1975,1.3862,1.3862,1.3862,1.3862
04/03/1975,1.3787,1.3787,1.3787,1.3787
05/03/1975,1.3801,1.3801,1.3801,1.3801
06/03/1975,1.3744,1.3744,1.3744,1.3744
